Aquilegia_formosa	0
Aquilegia_buergeriana-oxysepala	0
Semiaquilegia_adoxoides	0
Enemion_raddeanum	0
Isopyrum_manshuricum	0
Paraquilegia_microphylla	0
Leptopyrum_fumarioides	0
Thalictrum_actaeifolium	0
Thalictrum_tenue	(4 6)
Thalictrum_baicalense	0
Thalictrum_foetidum	4
Thalictrum_tuberosum	2
Thalictrum_calabricum	2
Thalictrum_coriaceum	7
Thalictrum_pubescens	(3, 7)
Thalictrum_dasycarpum	7
Thalictrum_revolutum	7
Thalictrum_cooleyi	3
Thalictrum_macrostylum	7
Thalictrum_lucidum	2
Thalictrum_simplex-brevipes	6
Thalictrum_squarrosum	6
Thalictrum_minus-hypoleucum	(4 6)
Thalictrum_amurense	(2 6)
Thalictrum_flavum	2
Thalictrum_rochebrunianum	2
Thalictrum_delavayi	2
Thalictrum_grandiflorum	(0 2)
Thalictrum_aquilegiifolium	0
Thalictrum_aquilegiifolium-sibricum	2
Thalictrum_petaloideum	0
Thalictrum_sachalinese	0
Thalictrum_myriophyllum	(0 2)
Thalictrum_omeiense	(0 2)
Thalictrum_uncinulatum	(0 2)
Thalictrum_arkansanum	(5 7)
Thalictrum_texanum	(5 7)
Thalictrum_confine	7
Thalictrum_occidentale	7
Thalictrum_venulosum	7
Thalictrum_dioicum	7
Thalictrum_fendleri	7
Thalictrum_polycarpum	7
Thalictrum_pinnatum	(5 7)
Thalictrum_heliophilum	(5 7)
Thalictrum_fargesii	(0 2)
Thalictrum_leuconotum	(0 2 4 6)
Thalictrum_rutifolium	(0 2)
Thalictrum_uncatum	(4 6)
Thalictrum_lecoyeri	(0 2)
Thalictrum_calcicola	(0 2 4 6)
Thalictrum_atriplex	(0 2)
Thalictrum_cultratum	4
Thalictrum_isopyroides	6
Thalictrum_reticulatum	(0 2)
Thalictrum_finetii	2
Thalictrum_przewalskii	0
Thalictrum_sparsiflorum	0
Thalictrum_smithii	(1 3)
Thalictrum_elegans	(4 6)
Thalictrum_reniforme	2
Thalictrum_saniculaeforme	0
Thalictrum_chelidonii	2
Thalictrum_rotundifolium	0
Thalictrum_diffusiflorum	(0 2)
Thalictrum_rostellatum	(0 2)
Thalictrum_squamiferum	(0 2)
Thalictrum_alpinum	4
Thalictrum_zernyi	(0 2)
Thalictrum_foliolosum	4
Thalictrum_virgatum	(0 2)
Thalictrum_rhynchocarpum	6
Thalictrum_arsenii	7
Thalictrum_pringlei	(5 7)
Thalictrum_guatemalense	7
Thalictrum_gibbosum	(5 7)
Thalictrum_grandifolium	(5 7)
Thalictrum_lankesteri	(5 7)
Thalictrum_galeottii	(5 7)
Thalictrum_peltatum	(5 7)
Thalictrum_strigillosum	7
Thalictrum_decipiens	6
Thalictrum_podocarpum	(5 7)
Thalictrum_hernandezii	7
Thalictrum_pubigerum	(5 7)
Thalictrum_cuernavacanum	(5 7)
Thalictrum_henricksonii	(5 7)
Thalictrum_tripeltiferum	(5 7)
Thalictrum_foeniculaceum	(0 2)
Thalictrum_trichopus	(0 2)
Thalictrum_macrocarpum	7
Thalictrum_clavatum	0
Thalictrum_thalictroides	0
Thalictrum_coreanum	0
Thalictrum_tuberiferum	0
Thalictrum_acutifolium	(0 2)
Thalictrum_punctatum	0
Thalictrum_uchiyamai	0
Thalictrum_filamentosum	0
Thalictrum_kiusianum	0
Thalictrum_rubescens	(0 2)
Thalictrum_urbainii	(0 2)
Thalictrum_ichangense	0
