Matchingname,pollination,sexual_system,ploidy,notes,AnnBot_23_Poll Mode_U_Unresolved,Flower Morphotype,Pollination_index_1-1.29W_1.3-2.56U_2.57-3 I,Reassesed_poll mode_U_unresolved,Source,Original,Fullname
Thalictrum_guatemalense,1,2,1,,U (staminate W),intermediate + staminate,1.43,,,T.guatemalense_T31GUA,Thalictrum__guatemalense_T31GUA
Thalictrum_heliophilum,1,1,?,,,,1.29 [1.33] ,,,T.heliophilum_Thhel1,
Thalictrum_henricksonii,1,2,?,,,,1,,,T.henricksonii_Thhen1,
Thalictrum_hernandezii,1,2,1,,U (staminate W),staminate + intermediate,1,,,T.hernandezii_T32HER,Thalictrum__hernandezii_T32HER
Thalictrum_ichangense,0,0,0,,X,showy stamen,2.57,,,T.ichangense_T33ICH,Thalictrum__ichangense_T33ICH
Thalictrum_isopyroides,1,0,1,,U,intermediate,1.86,U,https://academic.oup.com/aob/article/132/1/61/7180922,T.isopyroides_Thiso1,
Thalictrum_kiusianum ,0,0,0,,X,showy stamen,2.14,,,T.kiusianum_Thkiu1,
Thalictrum_lankesteri,1,2,?,,,,,,,T.lankesteri_T36LAN,Thalictrum__lankesteri_T36LAN
Thalictrum_lecoyeri,0,0,?,,,,,,,T.lecoyeri_T103LEC,Thalictrum__lecoyeri_T103LEC
Thalictrum_leuconotum,?,0,?,2,,,,,,T.leuconotum_T37LEU,Thalictrum__leuconotum_T37LEU
Thalictrum_lucidum,0,0,1,,U,intermediate,2.43,U,https://academic.oup.com/aob/article/132/1/61/7180922,T.lucidum_T38LUC,Thalictrum__lucidum_T38LUC
Thalictrum_macrocarpum,1,3,1,,X (field data),,,,Guzman 2005,T.macrocarpum_T39MAC,Thalictrum__macrocarpum_T39MAC
Thalictrum_macrostylum,1,1,1,,X (field data),,1.6,,https://bioone.org/journals/the-journal-of-the-torrey-botanical-society/volume-145/issue-1/TORREY-D-16-00040.1/Sterile-stamens-do-not-enhance-seed-set-in-females-of/10.3159/TORREY-D-16-00040.1.full,T.macrostylum_Thmac2,
Thalictrum_minus-hypoleucum,1,0,(0 1),,X (field data),intermediate,1.86 [2.14],,Guzman 2005,T.minus.hypoleucum_T42MIN,Thalictrum__minus_T42MIN
Thalictrum_myriophyllum,0,0,?,,,,,,,T.myriophyllum_T43MYR,Thalictrum__myriophyllum_T43MYR
Thalictrum_occidentale,1,1,1,,X,staminate + carpellate,1.14,,,T.occidentale_T45OCCf,Thalictrum__occidentale_T45OCCf
Thalictrum_omeiense,0,0,?,,U,intermediate,2.29,U,https://academic.oup.com/aob/article/132/1/61/7180922,T.omeiense_T46OME,Thalictrum__omeiense_T46OME
Thalictrum_peltatum,1,2,?,,,,,,,T.peltatum_T49PEL,Thalictrum__petltatum_T49PEL
