Aquilegia_formosa	0
Aquilegia_buergeriana-oxysepala	0
Semiaquilegia_adoxoides	0
Enemion_raddeanum	0
Isopyrum_manshuricum	0
Paraquilegia_microphylla	0
Leptopyrum_fumarioides	0
Thalictrum_actaeifolium	0
Thalictrum_tenue	(0 2)
Thalictrum_baicalense	0
Thalictrum_foetidum	0
Thalictrum_tuberosum	2
Thalictrum_calabricum	2
Thalictrum_coriaceum	3
Thalictrum_pubescens	3
Thalictrum_dasycarpum	3
Thalictrum_revolutum	3
Thalictrum_cooleyi	3
Thalictrum_macrostylum	3
Thalictrum_lucidum	2
Thalictrum_simplex-brevipes	2
Thalictrum_squarrosum	2
Thalictrum_minus-hypoleucum	(0 2)
Thalictrum_amurense	2
Thalictrum_flavum	2
Thalictrum_rochebrunianum	2
Thalictrum_delavayi	2
Thalictrum_grandiflorum	(0 2)
Thalictrum_aquilegiifolium	0
Thalictrum_aquilegiifolium-sibricum	2
Thalictrum_petaloideum	0
Thalictrum_sachalinese	0
Thalictrum_myriophyllum	(0 2)
Thalictrum_omeiense	(0 2)
Thalictrum_uncinulatum	(0 2)
Thalictrum_arkansanum	(1 3)
Thalictrum_texanum	(1 3)
Thalictrum_confine	3
Thalictrum_occidentale	3
Thalictrum_venulosum	3
Thalictrum_dioicum	3
Thalictrum_fendleri	3
Thalictrum_polycarpum	3
Thalictrum_pinnatum	(1 3)
Thalictrum_heliophilum	(1 3)
Thalictrum_fargesii	(0 2)
Thalictrum_leuconotum	(0 2)
Thalictrum_rutifolium	(0 2)
Thalictrum_uncatum	(0 2)
Thalictrum_lecoyeri	(0 2)
Thalictrum_calcicola	(0 2)
Thalictrum_atriplex	(0 2)
Thalictrum_cultratum	0
Thalictrum_isopyroides	2
Thalictrum_reticulatum	(0 2)
Thalictrum_finetii	2
Thalictrum_przewalskii	0
Thalictrum_sparsiflorum	0
Thalictrum_smithii	(1 3)
Thalictrum_elegans	(0 2)
Thalictrum_reniforme	2
Thalictrum_saniculaeforme	0
Thalictrum_chelidonii	2
Thalictrum_rotundifolium	0
Thalictrum_diffusiflorum	(0 2)
Thalictrum_rostellatum	(0 2)
Thalictrum_squamiferum	(0 2)
Thalictrum_alpinum	0
Thalictrum_zernyi	(0 2)
Thalictrum_foliolosum	0
Thalictrum_virgatum	(0 2)
Thalictrum_rhynchocarpum	2
Thalictrum_arsenii	3
Thalictrum_pringlei	(1 3)
Thalictrum_guatemalense	3
Thalictrum_gibbosum	(1 3)
Thalictrum_grandifolium	(1 3)
Thalictrum_lankesteri	(1 3)
Thalictrum_galeottii	(1 3)
Thalictrum_peltatum	(1 3)
Thalictrum_strigillosum	3
Thalictrum_decipiens	2
Thalictrum_podocarpum	(1 3)
Thalictrum_hernandezii	3
Thalictrum_pubigerum	(1 3)
Thalictrum_cuernavacanum	(1 3)
Thalictrum_henricksonii	(1 3)
Thalictrum_tripeltiferum	(1 3)
Thalictrum_foeniculaceum	(0 2)
Thalictrum_trichopus	(0 2)
Thalictrum_macrocarpum	3
Thalictrum_clavatum	0
Thalictrum_thalictroides	0
Thalictrum_coreanum	0
Thalictrum_tuberiferum	0
Thalictrum_acutifolium	(0 2)
Thalictrum_punctatum	0
Thalictrum_uchiyamai	0
Thalictrum_filamentosum	0
Thalictrum_kiusianum	0
Thalictrum_rubescens	(0 2)
Thalictrum_urbainii	(0 2)
Thalictrum_ichangense	0
